dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Genome,Mixed,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",173135.6893,0.9600,346.5490,,,
Genome,Mixed,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",173135.6893,0.9600,346.5490,,,
Genome,Mixed,SmartRoute+/pre-filtering,43.5350,OK (Recall>=0.9),173135.6893,0.9600,346.5490,3976.9338,1.0000,15087.0000
Genome,Mixed,SmartRoute+/Milvus-HNSW,37.3569,OK (Recall>=0.9),173135.6893,0.9600,346.5490,4634.6332,0.9000,12946.0084
Genome,Mixed,SmartRoute+/Milvus-IVF,41.9628,OK (Recall>=0.9),173135.6893,0.9600,346.5490,4125.9345,0.9315,14542.1600
Genome,Mixed,SmartRoute+/UNG,21.9886,OK (Recall>=0.9),173135.6893,0.9600,346.5490,7873.8814,0.9000,7620.1300
Genome,Mixed,UNG+/UNG,1.4708,OK (Recall>=0.9),11581.2118,0.9100,5180.8050,7873.8814,0.9000,7620.1300
Genome,Mixed,SmartRoute+/UNG+,14.9497,OK (Recall>=0.9),173135.6893,0.9600,346.5490,11581.2118,0.9100,5180.8050
Genome,Mixed,SmartRoute+/SmartRoute,3.8652,OK (Recall>=0.9),173135.6893,0.9600,346.5490,44793.7026,0.9600,1339.4740
Genome,Mixed,SmartRoute/UNG+,3.8678,OK (Recall>=0.9),44793.7026,0.9600,1339.4740,11581.2118,0.9100,5180.8050
Genome,Small Length,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",156832.4037,0.9600,191.2870,,,
Genome,Small Length,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",156832.4037,0.9600,191.2870,,,
Genome,Small Length,SmartRoute+/pre-filtering,29.2789,OK (Recall>=0.9),156832.4037,0.9600,191.2870,5356.4924,1.0000,5600.6800
Genome,Small Length,SmartRoute+/Milvus-HNSW,25.5116,OK (Recall>=0.9),156832.4037,0.9600,191.2870,6147.5019,0.9200,4880.0310
Genome,Small Length,SmartRoute+/Milvus-IVF,55.0631,OK (Recall>=0.9),156832.4037,0.9600,191.2870,2848.2303,0.9180,10532.8560
Genome,Small Length,SmartRoute+/UNG,19.0355,OK (Recall>=0.9),156832.4037,0.9600,191.2870,8238.9289,0.9100,3641.2500
Genome,Small Length,UNG+/UNG,1.7145,OK (Recall>=0.9),14125.7702,0.9100,2123.7780,8238.9289,0.9100,3641.2500
Genome,Small Length,SmartRoute+/UNG+,11.1026,OK (Recall>=0.9),156832.4037,0.9600,191.2870,14125.7702,0.9100,2123.7780
