category,dataset,SmartRoute+/ACORN-gamma,SmartRoute+/UNG,SmartRoute+/NaviX,UNG+/UNG,SmartRoute+/pre-filtering,SmartRoute/UNG+,SmartRoute+/Milvus-HNSW,SmartRoute+/UNG+,SmartRoute+/Milvus-IVF,SmartRoute+/SmartRoute
K=20,Amazon,inf,30.7858,inf,3.0490,27.6066,4.5893,69.4803,10.0969,138.1815,2.2001
K=20,BookReviews,inf,17.8517,inf,5.1051,6.5702,1.8032,55.2466,3.4968,62.8006,1.9393
K=20,Genome,inf,22.8123,inf,1.2863,36.6318,4.5367,39.2635,17.7352,47.5828,3.9092
K=20,Laion,inf,7.1093,inf,3.1315,4.2045,1.2678,135.7872,2.2703,285.8471,1.7907
K=20,Music,inf,86.3315,inf,14.2530,20.3345,2.8113,127.7506,6.0571,205.9821,2.1546
K=20,Reviews,inf,9.4233,6.3197,1.6449,10.8484,1.7705,51.7931,5.7289,60.0132,3.2358
K=20,Tiktok,inf,12.9536,inf,2.9202,21.8700,1.8237,101.1491,4.4359,222.8367,2.4324
K=20,VariousImg,inf,6.2144,9.2107,1.2305,10.7717,2.8550,72.3752,5.0504,16.8756,1.7690
Large Length,Amazon,inf,13.7915,inf,1.7152,25.2528,2.6569,70.9030,8.0407,42.4170,3.0264
Large Length,BookReviews,inf,12.4866,inf,1.9061,16.0334,3.2850,141.4215,6.5510,161.0648,1.9942
Large Length,Genome,inf,22.8442,inf,1.4565,40.8657,3.5966,30.7835,15.6844,38.8594,4.3609
Large Length,Laion,inf,7.1908,inf,2.2625,71.6217,1.6120,1026.2547,3.1782,687.1336,1.9717
Large Length,Music,inf,6.2298,inf,1.8758,19.1678,1.5803,135.1702,3.3211,119.3300,2.1015
Large Length,Reviews,inf,9.3148,12.5106,1.3801,14.0872,2.0532,50.7342,6.7494,48.6257,3.2873
Large Length,Tiktok,inf,16.8639,inf,1.9413,26.7293,3.2108,215.2140,8.6871,81.1514,2.7056
Large Length,VariousImg,inf,6.9781,11.7023,1.4241,12.4814,3.0782,82.8477,4.8998,18.0655,1.5918
Large p_pass,Amazon,inf,31.3601,inf,4.1797,19.2803,4.5215,45.2193,7.5029,130.6258,1.6594
Large p_pass,BookReviews,inf,21.4238,inf,7.6094,4.8091,1.3285,36.1921,2.8155,54.3475,2.1194
Large p_pass,Genome,inf,26.7118,inf,1.6723,37.6516,4.2685,33.2597,15.9727,42.9497,3.7420
Large p_pass,Laion,inf,14.9413,inf,5.1385,5.8352,1.6268,204.3876,2.9077,141.1370,1.7874
Large p_pass,Music,inf,143.3504,inf,20.0182,20.7716,3.7687,113.0428,7.1610,214.3042,1.9001
Large p_pass,Reviews,5.6645,11.8334,5.3108,2.4103,8.6780,1.9108,49.6745,4.9096,44.0006,2.5694
Large p_pass,Tiktok,inf,20.3725,inf,2.0985,25.2294,5.8248,59.2019,9.7081,314.4444,1.6667
Large p_pass,VariousImg,7.5407,3.7575,7.5591,1.2563,10.1845,1.2833,69.7555,2.9908,15.2762,2.3306
Mixed,Amazon,inf,24.6501,inf,2.8408,21.1213,4.7906,54.5583,8.6771,14.7513,1.8113
Mixed,BookReviews,inf,17.9299,inf,4.2489,10.2593,2.0672,56.6475,4.2199,85.0468,2.0414
Mixed,Genome,inf,21.9886,inf,1.4708,43.5350,3.8678,37.3569,14.9497,41.9628,3.8652
Mixed,Laion,inf,10.4360,inf,2.7318,12.2422,2.0863,189.9875,3.8202,173.9771,1.8311
Mixed,Music,inf,75.4912,inf,11.9631,20.4290,3.0951,126.8314,6.3103,162.4876,2.0388
Mixed,Reviews,inf,16.3249,7.7137,2.2072,11.8360,2.8072,56.6207,7.3961,58.1230,2.6347
Mixed,Tiktok,inf,18.4113,inf,2.6592,28.7475,2.9402,137.1099,6.9236,174.5348,2.3548
Mixed,VariousImg,inf,6.3539,9.7959,1.5274,13.5588,2.2984,73.0319,4.1599,15.2654,1.8099
Small Length,Amazon,inf,32.6401,inf,4.6139,18.1111,4.2465,54.5669,7.0743,136.6214,1.6659
Small Length,BookReviews,inf,19.9591,inf,5.5105,7.7846,1.7770,34.1449,3.6220,64.6596,2.0382
Small Length,Genome,inf,19.0355,inf,1.7145,29.2789,3.1431,25.5116,11.1026,55.0631,3.5324
Small Length,Laion,inf,7.6234,inf,2.4001,5.8902,2.3444,99.4118,3.1762,59.5768,1.3548
Small Length,Music,inf,144.6965,inf,22.1975,22.9006,3.3182,99.1494,6.5186,202.6438,1.9645
Small Length,Reviews,inf,11.0277,5.2240,2.5518,7.0755,2.1014,46.1627,4.3215,51.9896,2.0565
Small Length,Tiktok,inf,32.7849,inf,3.6392,39.5173,4.1064,190.1860,9.0089,348.7602,2.1939
Small Length,VariousImg,8.4823,6.7818,8.0464,1.4950,9.5080,2.0779,70.3155,4.5363,15.0609,2.1831
Small p_pass,Amazon,inf,16.5287,inf,2.1077,22.6832,2.7742,66.9334,7.8420,55.8385,2.8268
Small p_pass,BookReviews,inf,9.6703,inf,1.2100,16.3155,3.8390,174.3490,7.9920,194.1969,2.0818
Small p_pass,Genome,inf,22.4401,inf,1.4967,36.9511,2.8814,30.0687,14.9930,39.1633,5.2034
Small p_pass,Laion,inf,7.1730,inf,1.9754,19.4766,2.6596,516.4016,3.6312,214.5438,1.3653
Small p_pass,Music,inf,9.7858,inf,1.3250,17.3869,1.7173,141.5329,7.3857,150.8551,4.3008
Small p_pass,Reviews,inf,12.4112,18.2094,1.6789,19.9841,2.3290,71.7359,7.3926,82.2499,3.1741
Small p_pass,Tiktok,inf,41.9456,inf,2.5111,44.3449,2.8638,694.9417,16.7041,560.4889,5.8328
Small p_pass,VariousImg,inf,3.9783,13.1601,1.1362,11.3389,1.8300,78.0105,3.5013,15.5902,1.9133
th=10,Amazon,inf,74.2794,inf,3.1902,26.7061,10.5756,93.2176,23.2834,107.4260,2.2016
th=10,BookReviews,inf,27.4468,inf,6.9801,5.4009,2.5414,15.7063,3.9322,18.5117,1.5472
th=10,Genome,inf,15.1013,inf,1.6011,18.7895,2.4662,17.1503,9.4319,26.2594,3.8245
th=10,Laion,inf,9.0571,inf,5.3260,5.7766,1.3697,33.4570,1.7005,inf,1.2416
th=10,Music,inf,192.7934,inf,17.1872,22.9826,9.1438,56.3741,11.2173,89.3425,1.2268
th=10,Reviews,inf,16.2430,7.6672,3.0160,5.5191,2.2038,53.5879,5.3857,15.6589,2.4438
th=10,Tiktok,inf,18.3384,inf,4.0850,16.0106,3.4601,26.9270,4.4891,59.3843,1.2974
th=10,VariousImg,inf,5.3236,10.4821,1.2128,9.5147,2.5538,26.8410,4.3894,5.3412,1.7188
