dataset,case,config,smartroute_plus_max_qps,smartroute_max_qps,qps_ratio_plus_over_smartroute
Amazon,self,K10_th100,74842.363272,41320.322023,1.811273
Amazon,len_large,K10_th100,218085.860403,72062.117545,3.026359
Amazon,len_small,K10_th100,113269.524834,67992.212625,1.665919
Amazon,ppass_small,K10_th100,220779.794233,71731.723355,3.077854
Amazon,ppass_large,K10_th100,107539.986952,64807.903972,1.659365
Amazon,self,K20_th100,95044.385728,43199.903232,2.200106
Amazon,self,K10_th10,42504.477138,19306.137421,2.201604
BookReviews,self,K10_th100,27080.089364,13265.502398,2.041392
BookReviews,len_large,K10_th100,140759.491295,70584.083289,1.994210
BookReviews,len_small,K10_th100,31562.833711,15485.389535,2.038233
BookReviews,ppass_small,K10_th100,174743.302089,83940.009754,2.081764
BookReviews,ppass_large,K10_th100,33754.894460,15926.990675,2.119352
BookReviews,self,K20_th100,26341.784656,13583.388422,1.939265
BookReviews,self,K10_th10,N/A,4893.405321,N/A
Genome,self,K10_th100,173135.689325,44793.702603,3.865179
Genome,len_large,K10_th100,368822.227686,84575.655743,4.360856
Genome,len_small,K10_th100,313664.807331,88796.540487,3.532399
Genome,ppass_small,K10_th100,368815.426320,86577.587948,4.259941
Genome,ppass_large,K10_th100,369890.882190,98848.253104,3.742007
Genome,self,K20_th100,178548.047280,45673.254602,3.909247
Genome,self,K10_th10,84008.011004,21965.821694,3.824488
Laion,self,K10_th100,7579.489900,4139.329842,1.831091
Laion,len_large,K10_th100,141245.531345,71637.856309,1.971660
Laion,len_small,K10_th100,5322.924060,3928.887143,1.354817
Laion,ppass_small,K10_th100,71184.763613,52139.002581,1.365288
Laion,ppass_large,K10_th100,10735.394183,6006.186372,1.787389
Laion,self,K20_th100,5382.662444,3002.314785,1.792837
Laion,self,K10_th10,N/A,N/A,N/A
Music,self,K10_th100,80591.000672,39528.308692,2.038817
Music,len_large,K10_th100,181204.283669,86227.487081,2.101468
Music,len_small,K10_th100,139820.703252,71173.532936,1.964504
Music,ppass_small,K10_th100,191769.876149,92934.528554,2.063494
Music,ppass_large,K10_th100,134265.734266,70660.982854,1.900140
Music,self,K20_th100,80643.427023,37428.952830,2.154573
Music,self,K10_th10,N/A,N/A,N/A
Reviews,self,K10_th100,72747.448020,27611.723938,2.634658
Reviews,len_large,K10_th100,199781.572148,60773.648546,3.287306
Reviews,len_small,K10_th100,163766.185558,79631.782637,2.056543
Reviews,ppass_small,K10_th100,186033.820949,66209.965041,2.809756
Reviews,ppass_large,K10_th100,144644.536053,56294.499042,2.569426
Reviews,self,K20_th100,94828.691179,36421.911422,2.603617
Reviews,self,K10_th10,28859.748453,11809.391694,2.443796
Tiktok,self,K10_th100,29740.926787,12629.684495,2.354843
Tiktok,len_large,K10_th100,198923.162613,73523.104636,2.705587
Tiktok,len_small,K10_th100,33959.508946,15479.356988,2.193858
Tiktok,ppass_small,K10_th100,208110.048594,78987.485749,2.634722
Tiktok,ppass_large,K10_th100,39019.060811,17702.091502,2.204206
Tiktok,self,K20_th100,32111.662956,13201.864763,2.432358
Tiktok,self,K10_th10,N/A,N/A,N/A
VariousImg,self,K10_th100,58767.066936,32469.816600,1.809898
VariousImg,len_large,K10_th100,138825.260644,87213.485531,1.591787
VariousImg,len_small,K10_th100,104412.652725,47827.057361,2.183129
VariousImg,ppass_small,K10_th100,156637.105764,81869.126743,1.913262
VariousImg,ppass_large,K10_th100,94440.299565,40522.469709,2.330566
VariousImg,self,K20_th100,58604.051493,33129.220525,1.768954
VariousImg,self,K10_th10,N/A,N/A,N/A
